id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,29144786,1568748975,1556970785496,6947753,5.58,25.21,11691026,9.39,230.48,15010369,12.05,240.11,0.8,0.81,0.45,0.43,19.17,149.46
1,37164869,1466020325,1436192261307,6886261,5.34,21.6,13743770,10.66,245.77,13956456,10.82,205.12,0.77,0.8,0.42,0.41,14.08,169.59
2,25797819,1539289343,1537849069109,6623929,5.45,23.79,15595122,12.82,272.67,15659796,12.88,248.25,0.82,0.81,0.49,0.45,22.73,129.56
3,25981277,1404431434,1381822410037,6355562,5.51,23.64,15732211,13.65,298.59,14633203,12.69,252.83,0.82,0.81,0.49,0.45,22.49,129.22
4,22671447,1262532688,1239371135977,5817586,6.39,27.94,13643461,14.99,317.51,13468984,14.8,292.13,0.82,0.81,0.46,0.43,19.39,145.17
5,22839885,1150448427,1161059525049,4449925,6.53,31.85,14708862,21.58,403.38,12284644,18.03,359.27,0.78,0.77,0.47,0.45,16.47,139.42
6,20827699,1265556950,1264046455986,5034608,6.76,32.44,12304571,16.51,371.36,13209912,17.72,387.88,0.78,0.77,0.46,0.45,16.85,136.33
7,23175896,1641946186,1666020251775,6731553,5.42,23.22,12896299,10.38,257.43,15381176,12.38,258.73,0.82,0.81,0.49,0.45,24.01,124.68
8,23170391,1511843095,1519518543378,6773557,5.39,21.87,12758892,10.15,219.73,16117666,12.82,229.02,0.83,0.82,0.47,0.44,21.23,141.58
9,24804644,1023895884,995054163951,6331183,5.43,19.75,15306299,13.12,234.78,16447255,14.1,209.95,0.85,0.83,0.45,0.43,14.16,172.92
10,26381252,988690527,972619891902,5803593,5.46,21.02,17021479,16.02,288.18,16609252,15.63,234.87,0.85,0.83,0.45,0.43,15.38,168.86
11,24445069,952811277,912233620166,5445410,6.37,24.87,16098448,18.83,327.98,17401869,20.35,325.69,0.84,0.82,0.43,0.42,15.3,170.85
12,24960894,780473670,766697287185,4120210,6.41,28.75,17290632,26.9,409.82,18099657,28.16,411.77,0.8,0.79,0.44,0.44,13.65,164.18
13,26334884,899085119,885568290595,4067391,5.96,29.54,18363502,26.92,446.81,17940144,26.3,427.72,0.78,0.76,0.49,0.47,18.09,139.17
14,25569394,1261984721,1266737059993,5771880,5.13,23.06,16335185,14.53,298.33,18738283,16.66,299.18,0.82,0.81,0.5,0.46,24.05,131.53
15,28115148,1506034133,1484903871895,6671845,5.38,22.79,17294164,13.94,284.27,20205031,16.29,283.74,0.83,0.81,0.49,0.45,23.73,133.81
16,25747064,1542967810,1528762898288,6661172,5.41,22.38,15359931,12.47,269.08,18145456,14.73,270.9,0.83,0.81,0.49,0.45,22.5,136.08
17,27554238,1717880381,1734478644095,6546208,5.66,24.25,16748121,14.48,306.3,19864149,17.17,308.28,0.82,0.81,0.49,0.45,22.77,132.71
18,26307535,1333861635,1330145346168,5052735,5.69,27.24,16653234,18.76,371.92,18945077,21.34,378.87,0.79,0.78,0.5,0.47,23.02,127.61
19,23180411,1117224188,1107136327702,4354873,6.22,31.3,14682734,20.98,404.71,16228709,23.19,423.94,0.76,0.75,0.49,0.47,18.94,130.04
20,20057978,1207722285,1220727984585,4424965,6.29,30.44,12637062,17.96,377.59,12881997,18.3,370.08,0.78,0.77,0.48,0.46,18.81,134.37
21,23892140,1561390413,1543187334010,6796791,5.5,23.17,13753549,11.12,258.41,16097868,13.02,252.2,0.82,0.81,0.49,0.45,24.02,129.97
22,25240848,1699668341,1690395204349,7004906,5.42,23.1,14356759,11.11,262.43,16833426,13.03,255.27,0.83,0.81,0.49,0.45,24.91,126.91
23,24815167,1671343631,1658442843910,6821951,5.36,22.79,14201326,11.17,262.82,16746011,13.17,260.22,0.82,0.81,0.5,0.45,24.71,125.86
24,21835899,1431928317,1399068259996,6080406,5.24,22.9,12183573,10.51,264.2,14219319,12.27,269.28,0.82,0.8,0.51,0.47,25.24,126.06
25,20836700,1226711869,1196051281384,5060844,5.64,25.68,11951194,13.31,319.09,13767897,15.34,333.0,0.8,0.79,0.5,0.48,23.43,134.24
26,19095808,875358465,853490382046,3777386,5.74,29.47,11762397,17.88,384.24,13075130,19.88,406.07,0.77,0.76,0.5,0.49,20.07,133.39
27,23247810,1132691552,1094159571210,4256198,5.96,30.2,13862689,19.41,425.51,15068686,21.1,444.48,0.77,0.76,0.5,0.48,20.75,130.36
28,23944546,1547774222,1523241209280,6467433,5.44,23.08,13649338,11.48,273.71,16904109,14.21,277.56,0.82,0.81,0.49,0.44,23.46,133.18
29,25102974,1768448085,1826887129153,6867477,5.57,23.78,14455648,11.72,269.28,17764965,14.4,274.04,0.82,0.81,0.49,0.44,22.91,131.13
30,24343476,1642100888,1624702615702,6662835,5.41,23.15,13902993,11.28,269.12,17459672,14.17,275.25,0.82,0.81,0.49,0.45,23.88,125.13
31,23573540,1425307783,1394705156940,6057968,5.37,24.0,13919681,12.33,278.82,16631987,14.73,284.03,0.82,0.81,0.5,0.45,23.83,125.87
32,22618621,1323154082,1321406413820,5170058,5.62,27.36,13905474,15.1,325.01,15639945,16.99,322.5,0.8,0.8,0.49,0.46,23.3,128.6
33,21040156,1235153355,1244110355037,4383651,6.15,30.39,13170164,18.49,384.86,14003472,19.66,382.51,0.77,0.77,0.48,0.46,19.24,132.39
34,20744519,1075038509,1060744557174,4451067,6.12,30.25,12968882,17.82,376.54,14221175,19.54,380.98,0.77,0.76,0.48,0.46,19.21,132.51
35,24099832,1370439342,1344455901996,6227888,5.27,23.39,14023912,11.86,269.63,17214229,14.56,272.63,0.82,0.8,0.49,0.45,24.05,125.48
36,23593296,1527986932,1506067273927,6273159,5.14,22.73,13654516,11.18,259.3,16295495,13.34,260.09,0.81,0.81,0.5,0.45,24.09,122.43
37,23450372,1477363412,1463928441494,6388356,5.43,23.25,13744405,11.69,260.8,16451652,13.99,266.16,0.82,0.81,0.49,0.45,21.56,133.53
38,24176810,1598636420,1611163792329,6048459,5.55,25.62,13565445,12.44,299.78,16859287,15.47,308.93,0.8,0.79,0.49,0.45,22.05,125.57
39,22270888,1224725217,1214967580683,4545895,6.4,32.52,13485944,19.0,411.04,14403395,20.29,410.89,0.76,0.75,0.48,0.46,17.67,134.0
40,22573315,1177128073,1162259965058,4530690,6.44,32.85,13598360,19.33,423.1,15155317,21.54,436.2,0.77,0.76,0.48,0.46,18.46,130.62
41,22481048,1234142829,1213640328709,4618820,6.29,31.36,13550592,18.44,401.81,15196371,20.68,413.92,0.78,0.77,0.48,0.46,19.01,132.02
42,25793687,1485062734,1467302260770,6888971,5.71,22.99,14575763,12.09,265.73,18090758,15.0,271.25,0.83,0.82,0.47,0.43,19.85,145.13
43,28557994,1874369060,1854925907580,7800793,5.87,23.01,16024754,12.07,261.15,19414188,14.62,272.0,0.83,0.82,0.47,0.43,21.83,137.46
44,26950557,1782767564,1783583546681,7016113,5.4,22.66,15376664,11.84,267.73,18923633,14.57,279.09,0.82,0.81,0.49,0.44,23.76,125.06
45,26236595,1728857536,1749972490078,6202178,5.33,23.77,15396930,13.24,294.33,18303300,15.74,311.93,0.81,0.8,0.49,0.45,24.36,124.32
46,24155836,1647501522,1674090490853,5332098,5.65,26.02,14434462,15.29,332.75,16512261,17.49,344.8,0.8,0.79,0.49,0.46,22.77,128.18
47,22962506,1210325014,1217195973927,4473017,6.07,29.44,14266960,19.35,389.23,15931561,21.61,407.23,0.78,0.77,0.49,0.46,18.95,132.14
48,20356680,763720313,723545384999,4508430,6.56,26.49,12672094,18.44,321.04,13954226,20.31,319.89,0.82,0.8,0.42,0.42,11.16,176.51
