id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,83850,8102000,7815569910,7670,11.4,17.26,5892,8.75,6.98,29343,43.6,121.86,0.87,0.87,0.47,0.48,11.69,139.11
1,66096,6824547,6793598520,7110,11.01,17.32,4524,7.0,5.03,28185,43.63,121.77,0.85,0.85,0.46,0.47,11.0,140.34
2,70996,6852242,6752289619,7512,11.25,16.79,4789,7.17,4.72,30390,45.49,127.02,0.81,0.82,0.48,0.49,9.47,145.54
3,64482,6651875,6602388310,7213,11.15,15.76,5400,8.35,6.55,26340,40.71,108.37,0.86,0.86,0.47,0.48,13.48,137.31
4,73598,6622512,6442524384,7588,11.57,14.98,6053,9.23,6.23,26884,40.98,105.99,0.78,0.79,0.45,0.45,10.42,153.23
5,9764,239516,153227523,4639,7.17,3.93,4703,7.27,4.07,7416,11.46,10.01,0.85,0.85,0.48,0.51,11.48,145.17
6,11868,855934,629192500,5193,7.44,3.98,5410,7.75,5.01,8975,12.86,8.92,0.74,0.75,0.5,0.52,13.78,141.18
7,94561,10470004,10476301173,7741,11.37,18.08,4541,6.67,3.91,33287,48.88,138.55,0.74,0.75,0.47,0.49,10.41,138.31
8,85473,8934801,9028388090,7637,11.59,17.77,5048,7.66,5.11,32061,48.65,136.59,0.83,0.85,0.43,0.44,8.37,156.84
9,65984,5705206,5657611929,6959,10.74,15.9,4952,7.64,3.86,26589,41.03,111.08,0.83,0.83,0.43,0.45,7.19,171.7
10,48264,4703547,4865791911,6987,10.62,13.19,5285,8.03,7.52,22328,33.93,81.41,0.82,0.84,0.43,0.44,11.77,167.34
11,51767,4775161,4580802309,7287,11.04,14.3,5103,7.73,3.86,23500,35.61,94.82,0.84,0.86,0.42,0.43,10.42,171.01
12,12629,314587,234400784,5499,8.05,4.97,5121,7.5,3.66,8771,12.84,13.82,0.77,0.79,0.44,0.48,12.26,162.98
13,8775,251141,93969600,4629,6.6,3.4,4673,6.67,3.67,7129,10.17,5.99,0.75,0.76,0.48,0.53,17.74,148.61
14,82617,9520780,9337369007,7371,11.25,17.22,4452,6.8,4.3,28871,44.08,122.14,0.83,0.85,0.47,0.47,13.47,149.31
15,89450,6897245,6553599064,7356,10.8,16.92,4601,6.76,3.97,30763,45.17,128.79,0.8,0.8,0.48,0.5,15.97,144.96
16,88212,6623686,6332493605,8109,11.72,17.03,5511,7.96,5.31,31382,45.35,124.07,0.78,0.79,0.46,0.49,15.87,149.65
17,12658,649231,549831581,5648,8.02,5.44,5204,7.39,4.03,9367,13.31,12.53,0.76,0.77,0.47,0.49,20.32,145.77
18,13438,388624,294188495,5272,7.67,5.26,4796,6.98,3.77,9301,13.54,14.11,0.82,0.83,0.47,0.49,16.43,138.91
19,13878,609941,404001659,5216,7.44,4.38,5612,8.01,10.04,9336,13.32,12.82,0.81,0.81,0.48,0.52,14.58,136.34
20,10694,281711,196974350,4944,7.45,4.07,5053,7.61,4.6,8377,12.62,10.26,0.8,0.81,0.48,0.51,19.53,145.0
21,87173,9627613,9361536293,7474,11.46,18.51,4562,7.0,4.44,32294,49.53,143.12,0.89,0.9,0.47,0.49,15.23,143.68
22,80582,6604821,6304559310,8241,11.84,17.63,5189,7.46,4.86,31560,45.34,123.88,0.76,0.77,0.45,0.47,12.89,145.85
23,82995,5761419,5334439886,7733,11.31,16.77,5077,7.42,4.43,31626,46.24,122.34,0.81,0.82,0.48,0.49,11.68,141.37
24,154812,5902080,5272339645,7383,10.89,16.8,4822,7.11,4.57,29701,43.81,124.45,0.82,0.84,0.48,0.5,15.07,137.19
25,82919,6203199,6301132113,7039,10.75,14.53,5379,8.21,5.73,27703,42.29,110.88,0.75,0.74,0.48,0.46,13.07,133.22
26,9637,211514,156923916,4237,6.32,3.3,4650,6.94,4.29,6513,9.72,6.44,0.76,0.75,0.51,0.51,12.18,134.89
27,11714,203160,125620514,4789,6.86,3.53,4902,7.02,3.76,8083,11.58,7.72,0.71,0.71,0.48,0.5,12.0,133.11
28,102831,9650553,9824595128,7860,11.31,17.66,4944,7.11,4.14,35172,50.61,142.54,0.77,0.75,0.47,0.48,12.52,136.3
29,95070,8116664,7982714179,8409,12.31,19.36,5098,7.46,4.3,36657,53.67,150.03,0.75,0.76,0.46,0.48,13.49,147.25
30,96015,6760571,6792072166,8063,12.07,17.64,5123,7.67,4.43,34511,51.66,139.54,0.77,0.78,0.47,0.48,12.83,148.69
31,85586,7681360,7812990101,7792,11.72,17.35,5046,7.59,4.55,31521,47.4,129.52,0.79,0.8,0.49,0.49,13.15,147.91
32,70622,5319266,5201178782,7262,10.99,15.15,4872,7.37,4.12,26775,40.51,109.41,0.8,0.81,0.47,0.47,11.53,151.03
33,9308,145762,88275441,4738,6.97,3.43,4885,7.18,3.94,7699,11.32,6.5,0.74,0.76,0.48,0.53,13.96,150.18
34,8159,177452,117595839,4601,6.8,3.2,4933,7.29,3.51,6554,9.68,5.75,0.82,0.83,0.49,0.53,12.75,145.63
35,91595,7239229,7210565785,7609,11.49,17.99,4645,7.02,4.19,33059,49.94,139.71,0.76,0.76,0.48,0.5,13.23,144.72
36,99926,7417913,7078094341,7625,11.55,18.31,5082,7.7,9.02,33622,50.94,146.2,0.78,0.78,0.49,0.5,14.2,144.94
37,75759,5827785,5717344861,7367,11.01,16.2,4733,7.07,3.98,31038,46.39,128.21,0.77,0.78,0.48,0.49,12.25,145.24
38,71976,7027653,7295159171,7879,11.64,18.18,5500,8.12,7.94,27650,40.84,106.88,0.78,0.79,0.47,0.47,12.52,148.79
39,11490,352565,289745511,5053,7.51,4.18,5188,7.71,4.87,8401,12.48,10.62,0.84,0.85,0.49,0.51,10.11,144.97
40,13431,1232440,979677460,5428,7.77,4.51,6121,8.76,6.78,8706,12.45,9.91,0.8,0.81,0.48,0.5,12.94,138.64
41,12730,420630,189926926,5325,7.76,4.45,6147,8.96,6.29,8550,12.46,10.11,0.82,0.83,0.49,0.52,16.54,135.13
42,110858,9676495,9842084673,8436,12.48,18.11,5609,8.3,5.4,34951,51.7,140.39,0.85,0.85,0.45,0.46,13.97,148.36
43,95192,6989325,6771030522,8680,12.69,18.68,5624,8.22,5.44,36522,53.39,149.82,0.8,0.81,0.47,0.51,15.28,144.73
44,94736,6771950,6508165263,8406,12.25,17.94,5349,7.8,5.22,35885,52.31,142.61,0.76,0.77,0.44,0.47,12.07,148.86
45,81562,5455259,5202493478,7677,11.24,16.15,4817,7.05,4.3,30629,44.84,118.59,0.71,0.72,0.47,0.49,14.01,148.24
46,79047,6971419,6715998041,7636,11.48,16.8,4908,7.38,6.47,29012,43.63,118.96,0.76,0.77,0.5,0.51,13.68,146.54
47,12125,226612,162021947,5040,7.28,4.15,4717,6.82,3.83,8862,12.81,9.87,0.72,0.74,0.49,0.53,12.09,145.39
48,9692,129747,83330259,4517,6.74,3.15,4658,6.95,3.29,6599,9.85,6.46,0.85,0.85,0.46,0.49,8.9,169.25
