id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,13267,24291,1245110,2083,7.23,2.14,1340,4.65,2.03,12664,43.97,11.11,0.07,0.07,0.48,0.47,6.17,224.14
1,12306,20821,999996,1899,6.59,2.04,1181,4.1,1.83,11830,41.08,11.75,0.07,0.07,0.49,0.49,5.78,226.62
2,13931,23814,1161065,1887,6.55,2.4,1249,4.34,1.99,13249,46.0,11.63,0.06,0.07,0.49,0.48,5.79,229.24
3,14868,26083,1316223,2076,7.21,2.01,1285,4.46,1.9,14132,49.07,11.16,0.06,0.06,0.5,0.5,6.19,227.34
4,15778,27070,1311662,2305,8.0,2.35,1508,5.24,2.0,14824,51.47,11.84,0.08,0.08,0.49,0.49,5.87,228.05
5,17038,28225,1317301,2212,7.68,2.32,1406,4.88,2.02,16022,55.63,12.41,0.06,0.06,0.49,0.49,6.18,231.04
6,19330,33494,1641472,2222,7.72,2.16,1307,4.54,1.93,18230,63.3,11.94,0.04,0.04,0.49,0.49,6.28,229.83
7,15639,25136,1172536,2076,7.21,2.1,1182,4.1,1.76,14937,51.86,11.76,0.05,0.06,0.49,0.48,6.23,229.58
8,15469,26013,1286341,2206,7.66,2.15,1385,4.81,2.03,14461,50.21,12.06,0.08,0.08,0.49,0.49,6.3,229.03
9,12144,20068,996217,2155,7.48,1.87,1638,5.69,1.82,11225,38.98,9.93,0.13,0.12,0.48,0.47,5.37,224.78
10,11974,19499,962283,2116,6.96,2.08,1509,4.96,1.81,11080,36.45,11.78,0.15,0.14,0.46,0.46,5.54,225.78
11,13004,21295,1059423,2146,7.04,2.39,1634,5.36,1.98,12053,39.52,12.91,0.15,0.14,0.46,0.47,5.11,227.05
12,14490,23532,1152588,2293,7.72,2.12,1455,4.9,1.78,13554,45.64,13.7,0.12,0.11,0.48,0.48,5.58,228.7
13,14753,24619,1214388,2074,7.2,2.32,1247,4.33,1.9,14074,48.87,11.36,0.07,0.07,0.49,0.48,6.53,230.36
14,13568,21921,1073676,1976,6.86,1.98,1164,4.04,1.79,12880,44.72,14.61,0.07,0.06,0.49,0.49,6.04,227.12
15,15622,24727,1197133,2037,7.07,1.94,1237,4.3,1.79,14774,51.3,13.38,0.07,0.07,0.48,0.48,6.71,226.89
16,14488,22413,1086286,2053,7.13,2.19,1359,4.72,1.99,13737,47.7,14.13,0.07,0.07,0.49,0.49,5.51,226.66
17,16322,26547,1320220,2144,7.44,2.02,1354,4.7,1.99,15488,53.78,13.19,0.06,0.06,0.48,0.48,6.23,226.63
18,16068,26849,1323078,2059,7.15,2.0,1168,4.06,1.7,15249,52.95,11.88,0.05,0.05,0.5,0.5,6.32,228.53
19,17217,28870,1403102,2170,7.53,3.8,1246,4.33,1.76,16238,56.38,11.46,0.06,0.06,0.5,0.5,6.44,228.29
20,16844,26735,1249069,2104,7.62,2.0,1320,4.78,1.86,15902,57.62,12.25,0.06,0.06,0.49,0.49,6.23,228.44
21,14661,26298,1344040,2069,7.18,2.09,1301,4.52,1.88,13931,48.37,12.5,0.07,0.07,0.48,0.48,6.28,226.19
22,15050,25717,1258232,2053,7.13,2.17,1281,4.45,1.93,14268,49.54,13.46,0.07,0.07,0.49,0.48,6.41,227.28
