id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
10,43,1808,1367194,26,3.71,2.21,21,3.0,1.15,31,4.43,3.21,0.94,0.91,0.3,0.28,58.02,148.5
11,69,6770,6255817,47,5.22,1.99,39,4.33,1.0,51,5.67,2.6,1.0,1.0,0.43,0.29,27.24,171.97
14,119,6362,4419168,92,4.0,2.8,53,2.3,0.93,112,4.87,3.55,0.76,0.69,0.51,0.36,59.05,96.0
15,51,1437,528379,39,3.9,1.73,21,2.1,0.88,47,4.7,3.16,0.63,0.53,0.54,0.53,103.46,128.9
16,305,17553,11362367,194,4.73,3.22,131,3.2,1.5,276,6.73,5.92,0.84,0.82,0.49,0.4,93.61,105.47
17,124,13627,12871626,32,4.57,3.31,19,2.71,0.76,78,11.14,13.38,0.86,0.86,0.44,0.22,38.78,106.76
18,90,11199,5551489,59,6.56,2.88,30,3.33,0.87,79,8.78,4.82,0.75,0.68,0.49,0.29,39.78,117.18
21,174,25930,23999658,114,4.22,2.87,73,2.7,1.17,155,5.74,3.95,0.66,0.62,0.46,0.33,69.48,96.66
22,98,8669,5730510,69,3.14,1.96,54,2.45,1.41,89,4.05,2.7,0.83,0.8,0.61,0.61,114.2,97.72
23,341,56930,60582408,247,5.61,2.8,165,3.75,1.53,305,6.93,4.24,0.78,0.75,0.45,0.36,69.21,127.55
24,282,387376,463370102,160,7.62,5.27,60,2.86,1.42,248,11.81,10.98,0.79,0.78,0.48,0.33,83.69,96.82
25,213,24301,29192178,111,8.54,3.91,39,3.0,0.82,168,12.92,6.97,0.79,0.76,0.45,0.4,90.96,101.72
